127.0.0.1 - - [19/Mar/2019:22:46:42 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Mar/2019:22:47:38 +0800] "GET /web01/index.jsp HTTP/1.1" 500 3170
0:0:0:0:0:0:0:1 - - [19/Mar/2019:22:47:46 +0800] "GET /web01/index.jsp HTTP/1.1" 500 3170
0:0:0:0:0:0:0:1 - - [19/Mar/2019:22:49:06 +0800] "GET /web01/index.jsp HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [19/Mar/2019:22:49:19 +0800] "GET /web01/index.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [19/Mar/2019:22:49:26 +0800] "GET /web01/index.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [19/Mar/2019:22:49:29 +0800] "GET /web01/register.jsp HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [19/Mar/2019:22:49:33 +0800] "POST /web01/register_do.jsp HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [19/Mar/2019:22:49:36 +0800] "POST /web01/login_do.jsp HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [19/Mar/2019:22:49:43 +0800] "GET /web01 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2019:22:49:43 +0800] "GET /web01/ HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [19/Mar/2019:22:49:45 +0800] "GET /web01/login.jsp HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [19/Mar/2019:22:49:47 +0800] "POST /web01/login_do.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [19/Mar/2019:22:49:53 +0800] "GET /web01 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2019:22:49:53 +0800] "GET /web01/ HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [19/Mar/2019:22:49:54 +0800] "GET /web01/register.jsp HTTP/1.1" 200 671
